Snowdrift	Blowing Snow	Metamorphism	Falling Snow	Thermal Conductivity	Liquid Water Content	Compaction	Turbulent Flux
DFLT	.true.	B21	A76	C11	O04	B92	M98 
DFLT	.true.	B21	A76	I02	O04	B92	DEF 
DFLT	.true.	B21	A76	Y81	B02	S14	DEF 
DFLT	.true.	B21	A76	Y81	B92	B92	DEF 
DFLT	.true.	B21	A76	Y81	O04	S14	DEF 
DFLT	.true.	B21	A76	Y81	SPK	B92	DEF 
DFLT	.true.	B21	A76	Y81	SPK	B92	RIL 
DFLT	.true.	B21	P75	C11	B92	S14	RIL 
DFLT	.true.	B21	P75	C11	O04	S14	DEF 
DFLT	.true.	B21	P75	C11	SPK	T11	DEF 
DFLT	.true.	B21	P75	I02	B02	S14	M98 
DFLT	.true.	B21	P75	I02	SPK	B92	RIL 
DFLT	.true.	B21	P75	Y81	SPK	S14	RIL 
DFLT	.true.	B21	S02	C11	B02	B92	DEF 
DFLT	.true.	B21	S02	C11	B02	T11	DEF 
DFLT	.true.	B21	S02	C11	B92	T11	M98 
DFLT	.true.	B21	S02	I02	B92	S14	M98 
DFLT	.true.	B21	S02	I02	B92	S14	RIL 
DFLT	.true.	B21	S02	I02	O04	T11	DEF 
DFLT	.true.	B21	S02	Y81	B02	S14	M98 
DFLT	.true.	B21	S02	Y81	SPK	B92	RIL 
DFLT	.true.	B21	V12	C11	B02	S14	M98 
DFLT	.true.	B21	V12	C11	SPK	B92	RIL 
DFLT	.true.	B21	V12	I02	B02	S14	DEF 
DFLT	.true.	B21	V12	I02	B02	T11	DEF 
DFLT	.true.	B21	V12	I02	B02	T11	M98 
DFLT	.true.	B21	V12	I02	O04	B92	RIL 
DFLT	.true.	B21	V12	I02	SPK	T11	M98 
DFLT	.true.	B21	V12	Y81	O04	B92	RIL 
DFLT	.true.	B21	V12	Y81	O04	S14	M98 
DFLT	.true.	B21	V12	Y81	SPK	B92	RIL 
GA01	.true.	B21	A76	C11	B02	B92	DEF 
GA01	.true.	B21	A76	C11	B02	B92	DEF 
GA01	.true.	B21	A76	C11	B92	S14	DEF 
GA01	.true.	B21	A76	I02	B02	T11	M98 
GA01	.true.	B21	A76	I02	O04	B92	RIL 
GA01	.true.	B21	A76	Y81	B02	S14	RIL 
GA01	.true.	B21	A76	Y81	B92	B92	DEF 
GA01	.true.	B21	A76	Y81	B92	S14	RIL 
GA01	.true.	B21	A76	Y81	O04	S14	DEF 
GA01	.true.	B21	P75	C11	B02	T11	RIL 
GA01	.true.	B21	P75	C11	B92	T11	DEF 
GA01	.true.	B21	P75	I02	B92	B92	M98 
GA01	.true.	B21	P75	I02	B92	T11	RIL 
GA01	.true.	B21	P75	I02	SPK	T11	M98 
GA01	.true.	B21	S02	C11	B02	S14	DEF 
GA01	.true.	B21	S02	I02	B02	S14	RIL 
GA01	.true.	B21	S02	I02	B92	S14	RIL 
GA01	.true.	B21	S02	Y81	B02	S14	RIL 
GA01	.true.	B21	S02	Y81	O04	S14	DEF 
GA01	.true.	B21	S02	Y81	SPK	S14	RIL 
GA01	.true.	B21	V12	C11	B92	B92	DEF 
GA01	.true.	B21	V12	I02	B92	T11	DEF 
GA01	.true.	B21	V12	I02	B92	T11	DEF 
GA01	.true.	B21	V12	I02	SPK	S14	M98 
GA01	.true.	B21	V12	Y81	O04	S14	RIL 
GA01	.true.	B21	V12	Y81	SPK	B92	M98 
NONE	.true.	B21	A76	C11	SPK	S14	RIL 
NONE	.true.	B21	A76	C11	SPK	T11	DEF 
NONE	.true.	B21	A76	I02	B92	S14	DEF 
NONE	.true.	B21	A76	I02	B92	T11	RIL 
NONE	.true.	B21	A76	I02	SPK	B92	RIL 
NONE	.true.	B21	A76	Y81	B02	B92	DEF 
NONE	.true.	B21	A76	Y81	O04	B92	DEF 
NONE	.true.	B21	A76	Y81	SPK	B92	DEF 
NONE	.true.	B21	P75	C11	B02	B92	DEF 
NONE	.true.	B21	P75	C11	B02	B92	RIL 
NONE	.true.	B21	P75	C11	B92	B92	RIL 
NONE	.true.	B21	P75	C11	SPK	T11	RIL 
NONE	.true.	B21	P75	I02	B02	S14	M98 
NONE	.true.	B21	P75	I02	B02	T11	RIL 
NONE	.true.	B21	P75	I02	B92	S14	DEF 
NONE	.true.	B21	P75	I02	SPK	B92	M98 
NONE	.true.	B21	P75	Y81	B02	T11	DEF 
NONE	.true.	B21	P75	Y81	B92	S14	DEF 
NONE	.true.	B21	P75	Y81	O04	T11	DEF 
NONE	.true.	B21	P75	Y81	O04	T11	M98 
NONE	.true.	B21	S02	C11	B92	S14	M98 
NONE	.true.	B21	S02	C11	B92	T11	RIL 
NONE	.true.	B21	S02	C11	O04	S14	DEF 
NONE	.true.	B21	S02	C11	SPK	B92	DEF 
NONE	.true.	B21	S02	C11	SPK	B92	DEF 
NONE	.true.	B21	S02	I02	B02	S14	M98 
NONE	.true.	B21	S02	I02	B92	T11	M98 
NONE	.true.	B21	S02	Y81	B02	T11	DEF 
NONE	.true.	B21	S02	Y81	B92	B92	DEF 
NONE	.true.	B21	S02	Y81	O04	B92	RIL 
NONE	.true.	B21	S02	Y81	O04	T11	M98 
NONE	.true.	B21	V12	C11	B02	T11	M98 
NONE	.true.	B21	V12	C11	B92	B92	M98 
NONE	.true.	B21	V12	I02	B02	B92	M98 
NONE	.true.	B21	V12	I02	O04	T11	M98 
NONE	.true.	B21	V12	I02	SPK	B92	RIL 
NONE	.true.	B21	V12	I02	SPK	T11	M98 
NONE	.true.	B21	V12	Y81	B02	S14	M98 
NONE	.true.	B21	V12	Y81	O04	B92	DEF 
NONE	.true.	B21	V12	Y81	O04	B92	RIL 
NONE	.true.	B21	V12	Y81	SPK	T11	M98 
VI13	.true.	B21	A76	C11	O04	S14	M98 
VI13	.true.	B21	A76	I02	B92	T11	RIL 
VI13	.true.	B21	A76	Y81	B02	S14	RIL 
VI13	.true.	B21	A76	Y81	B02	T11	RIL 
VI13	.true.	B21	A76	Y81	B92	B92	DEF 
VI13	.true.	B21	A76	Y81	B92	T11	DEF 
VI13	.true.	B21	A76	Y81	O04	B92	M98 
VI13	.true.	B21	A76	Y81	SPK	T11	DEF 
VI13	.true.	B21	P75	C11	B02	B92	M98 
VI13	.true.	B21	P75	C11	B92	S14	RIL 
VI13	.true.	B21	P75	C11	SPK	S14	DEF 
VI13	.true.	B21	P75	I02	B02	S14	M98 
VI13	.true.	B21	P75	I02	SPK	S14	M98 
VI13	.true.	B21	P75	Y81	B02	B92	RIL 
VI13	.true.	B21	S02	C11	B92	T11	M98 
VI13	.true.	B21	S02	C11	O04	B92	M98 
VI13	.true.	B21	S02	I02	B02	T11	M98 
VI13	.true.	B21	S02	I02	O04	S14	RIL 
VI13	.true.	B21	S02	Y81	B92	T11	M98 
VI13	.true.	B21	V12	C11	SPK	B92	M98 
VI13	.true.	B21	V12	I02	B02	S14	DEF 
VI13	.true.	B21	V12	I02	SPK	B92	M98 
